IPProto,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10731,10.215.173.2,53,10106,Google Play Store,com.android.vending,DNS,Closed,i.ytimg.com,57,313,1,1,2026-05-28T16:10:09.167Z,2026-05-28T16:10:09.174Z
17,34014,172.217.20.238,443,10106,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,6084,7129,16,15,2026-05-28T16:10:09.457Z,2026-05-28T16:10:09.706Z
6,33934,172.217.20.238,443,10106,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,1052,6181,10,9,2026-05-28T16:10:09.461Z,2026-05-28T16:14:14.774Z
17,63569,10.215.173.2,53,10101,Google Play services,com.google.android.gms,DNS,Closed,spot-pa.googleapis.com,68,132,1,1,2026-05-28T16:10:27.485Z,2026-05-28T16:10:27.514Z
17,48752,216.239.38.223,443,10101,Google Play services,com.google.android.gms,QUIC,Closed,spot-pa.googleapis.com,10264,13696,25,21,2026-05-28T16:10:27.521Z,2026-05-28T16:10:28.233Z
6,57822,216.239.38.223,443,10101,Google Play services,com.google.android.gms,HTTPS,Closed,spot-pa.googleapis.com,2242,7271,10,9,2026-05-28T16:10:27.659Z,2026-05-28T16:14:33.082Z
17,48585,57.144.120.192,443,10228,Instagram,com.instagram.android,UDP,Closed,,1376,1336,2,2,2026-05-28T16:10:31.913Z,2026-05-28T16:10:32.016Z
17,40045,31.13.69.1,443,10228,Instagram,com.instagram.android,UDP,Closed,,1376,1336,2,2,2026-05-28T16:10:42.132Z,2026-05-28T16:10:42.250Z
17,48764,10.215.173.2,53,10117,Meta App Manager,com.facebook.appmanager,DNS,Closed,graph.facebook.com,64,116,1,1,2026-05-28T16:10:55.304Z,2026-05-28T16:10:55.337Z
6,54540,57.144.120.141,443,10117,Meta App Manager,com.facebook.appmanager,HTTPS,Closed,graph.facebook.com,2721,5931,11,10,2026-05-28T16:10:55.368Z,2026-05-28T16:12:06.086Z
17,5190,10.215.173.2,53,10166,Dynamic Bar,com.transsion.dynamicbar,DNS,Closed,ire-oneid.shalltry.com,68,191,1,1,2026-05-28T16:10:56.035Z,2026-05-28T16:10:56.054Z
6,57226,3.160.188.22,443,10166,Dynamic Bar,com.transsion.dynamicbar,HTTPS,Closed,ire-oneid.shalltry.com,1954,5957,10,11,2026-05-28T16:10:56.062Z,2026-05-28T16:14:56.561Z
17,41732,41.110.60.100,443,10228,Instagram,com.instagram.android,UDP,Closed,,1376,1336,2,2,2026-05-28T16:10:56.128Z,2026-05-28T16:10:56.177Z
17,54506,41.110.60.34,443,10228,Instagram,com.instagram.android,UDP,Closed,,1376,1336,2,2,2026-05-28T16:10:56.133Z,2026-05-28T16:10:56.169Z
6,38336,57.144.120.144,443,10228,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt.facebook.com,3750,1970,11,11,2026-05-28T16:11:31.932Z,2026-05-28T16:19:07.452Z
17,1739,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,edge-mqtt.facebook.com,68,120,1,1,2026-05-28T16:11:31.936Z,2026-05-28T16:11:31.944Z
6,57986,74.125.206.188,5228,10101,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1421,6276,9,11,2026-05-28T16:11:31.942Z,2026-05-28T16:24:32.124Z
17,42038,10.215.173.2,53,1000,Android,android,DNS,Closed,time.android.com,62,126,1,1,2026-05-28T16:14:40.803Z,2026-05-28T16:14:40.846Z
17,44977,216.239.35.0,123,1000,Android,android,NTP,Closed,time.android.com,76,76,1,1,2026-05-28T16:14:40.896Z,2026-05-28T16:14:41.104Z
6,39422,57.144.120.144,443,10228,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt.facebook.com,3607,1826,8,8,2026-05-28T16:19:07.488Z,2026-05-28T16:24:27.016Z
17,4113,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,2026-05-28T16:19:07.499Z,2026-05-28T16:19:07.542Z
17,31547,10.215.173.2,53,10106,Google Play Store,com.android.vending,DNS,Closed,play.googleapis.com,65,129,1,1,2026-05-28T16:19:07.870Z,2026-05-28T16:19:07.895Z
6,33212,216.239.38.223,443,10106,Google Play Store,com.android.vending,HTTPS,Closed,play.googleapis.com,3175,7706,10,11,2026-05-28T16:19:07.905Z,2026-05-28T16:19:08.295Z
17,1165,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,test-gateway.instagram.com,72,123,1,1,2026-05-28T16:19:37.312Z,2026-05-28T16:19:37.358Z
17,49880,57.144.120.196,443,10228,Instagram,com.instagram.android,QUIC,Closed,,6542,3850,22,24,2026-05-28T16:19:37.320Z,2026-05-28T16:23:52.765Z
17,48585,57.144.120.192,443,10228,Instagram,com.instagram.android,UDP,Closed,,163,120,2,2,2026-05-28T16:20:22.054Z,2026-05-28T16:20:22.226Z
17,45609,10.215.173.2,53,10256,PCAPdroid,com.emanuelef.remote_capture,DNS,Closed,firebaselogging.googleapis.com,76,140,1,1,2026-05-28T16:21:56.907Z,2026-05-28T16:21:56.931Z
6,60254,216.239.34.223,443,10256,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Closed,firebaselogging.googleapis.com,1893,6193,7,7,2026-05-28T16:21:56.937Z,2026-05-28T16:24:37.256Z
6,45774,31.13.69.61,5222,10227,WhatsApp,com.whatsapp,TCP,Active,,2589,3454,42,33,2026-05-28T16:22:00.989Z,2026-05-28T16:26:20.463Z
17,60099,10.215.173.2,53,10227,WhatsApp,com.whatsapp,DNS,Closed,g.whatsapp.net,60,99,1,1,2026-05-28T16:22:00.995Z,2026-05-28T16:22:01.019Z
17,24874,10.215.173.2,53,10227,WhatsApp,com.whatsapp,DNS,Closed,api.whatsapp.net,62,103,1,1,2026-05-28T16:22:01.333Z,2026-05-28T16:22:01.374Z
17,56540,57.144.121.32,443,10227,WhatsApp,com.whatsapp,QUIC,Closed,,4208,3113,10,11,2026-05-28T16:22:01.337Z,2026-05-28T16:22:01.740Z
17,40045,31.13.69.1,443,10228,Instagram,com.instagram.android,UDP,Closed,,96,54,1,1,2026-05-28T16:23:27.070Z,2026-05-28T16:23:27.115Z
17,8622,10.215.173.2,53,10227,WhatsApp,com.whatsapp,DNS,Closed,2.android.pool.ntp.org,68,100,1,1,2026-05-28T16:23:27.479Z,2026-05-28T16:23:27.508Z
17,38403,162.159.200.123,123,10227,WhatsApp,com.whatsapp,NTP,Closed,,76,76,1,1,2026-05-28T16:23:27.487Z,2026-05-28T16:23:27.500Z
17,28163,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,test-gateway.instagram.com,72,123,1,1,2026-05-28T16:23:52.791Z,2026-05-28T16:23:52.812Z
17,53161,31.13.69.142,443,10228,Instagram,com.instagram.android,QUIC,Active,test-gateway.instagram.com,8493,9098,54,54,2026-05-28T16:23:52.797Z,2026-05-28T16:26:00.233Z
17,54506,41.110.60.34,443,10228,Instagram,com.instagram.android,UDP,Closed,,96,80,1,1,2026-05-28T16:23:55.159Z,2026-05-28T16:23:55.175Z
17,41732,41.110.60.100,443,10228,Instagram,com.instagram.android,UDP,Closed,,96,54,1,1,2026-05-28T16:23:55.166Z,2026-05-28T16:23:55.178Z
17,52275,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,search.arin.net,61,93,1,1,2026-05-28T16:24:07.367Z,2026-05-28T16:24:07.418Z
17,63416,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,incoming.telemetry.mozilla.org,76,151,1,1,2026-05-28T16:24:08.366Z,2026-05-28T16:24:08.390Z
17,45513,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,ads.mozilla.org,61,113,1,1,2026-05-28T16:24:08.376Z,2026-05-28T16:24:08.401Z
6,41312,34.120.208.123,443,10220,Firefox,org.mozilla.firefox,TLS,Closed,incoming.telemetry.mozilla.org,6362,7347,31,31,2026-05-28T16:24:08.397Z,2026-05-28T16:24:40.377Z
6,33362,199.232.81.91,443,10220,Firefox,org.mozilla.firefox,TLS,Error,ads.mozilla.org,2031,4697,17,16,2026-05-28T16:24:08.406Z,2026-05-28T16:24:40.325Z
17,2748,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,search.arin.net,61,106,1,1,2026-05-28T16:24:08.619Z,2026-05-28T16:24:08.712Z
17,31080,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,cloudflare-dns.com,64,137,1,1,2026-05-28T16:24:09.215Z,2026-05-28T16:24:09.237Z
17,57019,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,example.org,57,89,1,1,2026-05-28T16:24:09.221Z,2026-05-28T16:24:09.241Z
17,11288,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,ipv4only.arpa,59,91,1,1,2026-05-28T16:24:09.225Z,2026-05-28T16:24:09.244Z
17,47621,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,detectportal.firefox.com,70,181,1,1,2026-05-28T16:24:09.229Z,2026-05-28T16:24:09.249Z
17,25325,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,safebrowsing.googleapis.com,73,89,1,1,2026-05-28T16:24:09.232Z,2026-05-28T16:24:09.252Z
6,42636,34.107.221.82,80,10220,Firefox,org.mozilla.firefox,HTTP,Closed,detectportal.firefox.com,1042,840,10,10,2026-05-28T16:24:09.255Z,2026-05-28T16:24:40.367Z
6,36120,192.178.203.95,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,safebrowsing.googleapis.com,3164,10649,13,14,2026-05-28T16:24:09.263Z,2026-05-28T16:24:09.503Z
17,22349,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,content-signature-2.cdn.mozilla.net,81,97,1,1,2026-05-28T16:24:10.039Z,2026-05-28T16:24:10.058Z
6,42042,34.160.144.191,443,10220,Firefox,org.mozilla.firefox,TLS,Closed,content-signature-2.cdn.mozilla.net,1372,4189,12,15,2026-05-28T16:24:10.063Z,2026-05-28T16:24:40.362Z
6,46740,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,5621,82985,28,31,2026-05-28T16:24:10.884Z,2026-05-28T16:24:11.957Z
17,55783,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,164,1,1,2026-05-28T16:24:11.462Z,2026-05-28T16:24:11.509Z
17,17046,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,cdn.jsdelivr.net,62,140,1,1,2026-05-28T16:24:11.468Z,2026-05-28T16:24:11.488Z
6,46750,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,5370,98154,23,29,2026-05-28T16:24:11.504Z,2026-05-28T16:24:40.307Z
6,46762,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,3377,4824,10,10,2026-05-28T16:24:11.519Z,2026-05-28T16:24:11.961Z
6,46770,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,3374,4666,10,10,2026-05-28T16:24:11.524Z,2026-05-28T16:24:11.962Z
6,46786,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,search.arin.net,3434,10547,12,13,2026-05-28T16:24:11.528Z,2026-05-28T16:24:12.028Z
6,46800,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,3454,27696,12,13,2026-05-28T16:24:11.532Z,2026-05-28T16:24:11.958Z
17,6058,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,c2y23vzfb5cg.statuspage.io,72,184,1,1,2026-05-28T16:24:11.559Z,2026-05-28T16:24:11.578Z
6,39742,3.174.255.22,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,c2y23vzfb5cg.statuspage.io,3381,13846,18,21,2026-05-28T16:24:11.567Z,2026-05-28T16:24:40.311Z
17,12239,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,cdn.jsdelivr.net,62,166,1,1,2026-05-28T16:24:11.686Z,2026-05-28T16:24:11.706Z
6,43458,104.17.207.5,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,cdn.jsdelivr.net,2432,8062,8,8,2026-05-28T16:24:11.692Z,2026-05-28T16:24:11.812Z
6,43466,104.17.207.5,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,cdn.jsdelivr.net,3517,100350,24,37,2026-05-28T16:24:11.696Z,2026-05-28T16:24:40.313Z
6,43482,104.17.207.5,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,cdn.jsdelivr.net,3049,21324,14,14,2026-05-28T16:24:11.699Z,2026-05-28T16:24:12.138Z
6,46806,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,search.arin.net,3011,5285,12,12,2026-05-28T16:24:11.999Z,2026-05-28T16:24:40.403Z
6,46812,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,2963,5322,11,10,2026-05-28T16:24:12.002Z,2026-05-28T16:24:40.297Z
6,46814,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,3007,5485,12,11,2026-05-28T16:24:12.005Z,2026-05-28T16:24:40.298Z
6,46828,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,2999,8459,12,12,2026-05-28T16:24:12.008Z,2026-05-28T16:24:40.298Z
6,46832,199.43.0.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,search.arin.net,2282,3840,7,6,2026-05-28T16:24:12.044Z,2026-05-28T16:24:17.307Z
17,47904,104.17.207.5,443,10220,Firefox,org.mozilla.firefox,QUIC,Closed,cdn.jsdelivr.net,4365,11028,8,14,2026-05-28T16:24:12.103Z,2026-05-28T16:24:40.310Z
17,42469,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,accountws.arin.net,64,80,1,1,2026-05-28T16:24:12.166Z,2026-05-28T16:24:12.223Z
17,63158,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,o1069899.ingest.sentry.io,71,87,1,1,2026-05-28T16:24:12.268Z,2026-05-28T16:24:12.288Z
6,59222,34.160.81.0,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,o1069899.ingest.sentry.io,1910,5044,10,10,2026-05-28T16:24:12.306Z,2026-05-28T16:24:12.643Z
17,46767,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,accountws.arin.net,64,109,1,1,2026-05-28T16:24:12.429Z,2026-05-28T16:24:12.505Z
6,35946,192.149.252.48,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,accountws.arin.net,2940,4904,11,10,2026-05-28T16:24:12.438Z,2026-05-28T16:24:40.290Z
6,35962,192.149.252.48,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,accountws.arin.net,3517,5998,13,13,2026-05-28T16:24:12.443Z,2026-05-28T16:24:40.290Z
17,10522,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,www.arin.net,58,74,1,1,2026-05-28T16:24:12.451Z,2026-05-28T16:24:12.523Z
17,39536,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,assets.mozilla.net,64,149,1,1,2026-05-28T16:24:12.457Z,2026-05-28T16:24:12.478Z
6,51186,34.117.64.196,443,10220,Firefox,org.mozilla.firefox,TLS,Error,assets.mozilla.net,2923,7433,30,33,2026-05-28T16:24:12.486Z,2026-05-28T16:24:40.312Z
6,35968,192.149.252.48,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,accountws.arin.net,2925,4729,11,11,2026-05-28T16:24:12.526Z,2026-05-28T16:24:40.403Z
6,35600,192.149.252.47,443,10220,Firefox,org.mozilla.firefox,HTTPS,Error,www.arin.net,2796,8037,11,11,2026-05-28T16:24:12.531Z,2026-05-28T16:24:40.308Z
17,28911,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,rdap-bootstrap.arin.net,69,117,1,1,2026-05-28T16:24:12.613Z,2026-05-28T16:24:12.652Z
17,57419,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,rdap-bootstrap.arin.net,69,114,1,1,2026-05-28T16:24:12.665Z,2026-05-28T16:24:12.716Z
6,41082,199.71.0.160,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,rdap-bootstrap.arin.net,2878,4331,10,10,2026-05-28T16:24:12.669Z,2026-05-28T16:24:18.237Z
17,28641,10.215.173.2,53,10106,Google Play Store,com.android.vending,DNS,Closed,play-fe.googleapis.com,68,84,1,1,2026-05-28T16:24:13.230Z,2026-05-28T16:24:13.234Z
17,47421,142.251.36.142,443,10106,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,12871,8694,25,19,2026-05-28T16:24:13.277Z,2026-05-28T16:24:13.712Z
17,36322,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,rdap.arin.net,59,107,1,1,2026-05-28T16:24:13.535Z,2026-05-28T16:24:13.578Z
17,61531,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,rdap.arin.net,59,104,1,1,2026-05-28T16:24:13.588Z,2026-05-28T16:24:13.670Z
6,41098,199.71.0.160,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,rdap.arin.net,2838,10960,10,10,2026-05-28T16:24:13.590Z,2026-05-28T16:24:19.184Z
6,48686,31.13.69.20,443,10228,Instagram,com.instagram.android,HTTPS,Closed,edge-mqtt.facebook.com,5230,4930,9,9,2026-05-28T16:24:27.138Z,2026-05-28T16:25:28.369Z
17,31226,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,2026-05-28T16:24:27.142Z,2026-05-28T16:24:27.181Z
17,60495,10.215.173.2,53,10101,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2026-05-28T16:24:32.217Z,2026-05-28T16:24:32.236Z
6,52462,64.233.166.188,5228,10101,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1325,1188,7,8,2026-05-28T16:24:32.249Z,2026-05-28T16:25:33.370Z
17,64371,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,www.google.com,60,188,1,1,2026-05-28T16:24:40.174Z,2026-05-28T16:24:40.184Z
17,52965,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,www.google.com,60,85,1,1,2026-05-28T16:24:40.213Z,2026-05-28T16:24:40.252Z
6,40194,34.120.208.123,443,10220,Firefox,org.mozilla.firefox,TLS,Closed,incoming.telemetry.mozilla.org,4091,2582,21,23,2026-05-28T16:24:40.515Z,2026-05-28T16:24:47.622Z
17,47873,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,www.gstatic.com,61,77,1,1,2026-05-28T16:24:40.590Z,2026-05-28T16:24:40.629Z
17,43479,10.215.173.2,53,10220,Firefox,org.mozilla.firefox,DNS,Closed,www.gstatic.com,61,118,1,1,2026-05-28T16:24:40.658Z,2026-05-28T16:24:40.696Z
6,54078,142.251.152.119,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,www.google.com,3687,7733,12,13,2026-05-28T16:24:42.241Z,2026-05-28T16:24:47.622Z
17,36932,142.251.152.119,443,10220,Firefox,org.mozilla.firefox,QUIC,Closed,www.google.com,1280,0,1,0,2026-05-28T16:24:42.392Z,2026-05-28T16:24:42.392Z
6,54084,142.251.152.119,443,10220,Firefox,org.mozilla.firefox,HTTPS,Closed,www.google.com,12801,226872,64,104,2026-05-28T16:24:42.447Z,2026-05-28T16:24:47.622Z
17,45302,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,i-fallback.instagram.com,70,119,1,1,2026-05-28T16:24:43.354Z,2026-05-28T16:24:43.372Z
17,32172,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,graph.facebook.com,64,104,1,1,2026-05-28T16:24:43.357Z,2026-05-28T16:24:43.400Z
17,9715,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,i.instagram.com,61,106,1,1,2026-05-28T16:24:43.360Z,2026-05-28T16:24:43.403Z
17,60059,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,graph-fallback.facebook.com,73,122,1,1,2026-05-28T16:24:43.363Z,2026-05-28T16:24:43.403Z
17,28721,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,graph.instagram.com,65,110,1,1,2026-05-28T16:24:43.380Z,2026-05-28T16:24:43.399Z
17,37059,10.215.173.2,53,10228,Instagram,com.instagram.android,DNS,Closed,graph-fallback.instagram.com,74,123,1,1,2026-05-28T16:24:43.407Z,2026-05-28T16:24:43.449Z
17,36092,31.13.69.63,443,10228,Instagram,com.instagram.android,QUIC,Closed,i.instagram.com,5881,9235,13,15,2026-05-28T16:24:48.734Z,2026-05-28T16:24:49.074Z
17,32975,41.110.60.34,443,10228,Instagram,com.instagram.android,QUIC,Closed,,1693,2166,5,6,2026-05-28T16:24:49.025Z,2026-05-28T16:24:49.072Z
6,37864,41.110.60.34,443,10228,Instagram,com.instagram.android,TLS,Closed,,140,128,3,3,2026-05-28T16:24:49.027Z,2026-05-28T16:24:49.051Z
